name,mass,fall,year,reclat,reclong
Berdyansk,2250,Found,1843,46.75,36.81667
Verkhne Tschirskaia,8000,Fell,1843,48.41667,43.2
Klein-Wenden,3250,Fell,1843,51.6,10.8
Utrecht,9700,Fell,1843,52.11667,5.18333
Cosina,1200,Fell,1844,21.16667,-100.86667
Ruff's Mountain,53070,Found,1844,34.3,-81.4
Favars,1500,Fell,1844,44.38333,2.81667
Killeter,140,Fell,1844,54.66667,-7.66667
Barratta,200000,Found,1845,-35.3,144.56667
Le Pressoir,3000,Fell,1845,47.16667,0.43333
Le Teilleul,780,Fell,1845,48.53333,-0.86667
Assam,2700,Found,1846,26,92
Jackson County,450,Found,1846,36.41667,-85.5
Deep Springs,11500,Found,1846,36.5,-79.75
Cape Girardeau,2300,Fell,1846,37.26667,-89.58333
Monte Milone,3130,Fell,1846,43.26667,13.35
Schönenberg,8000,Fell,1846,48.11667,10.46667
Netschaëvo,250000,Found,1846,54.23333,35.15
Singhur,14180,Found,1847,18.31667,73.91667
Murfreesboro,8600,Found,1847,35.83333,-86.41667
Marion (Iowa),28400,Fell,1847,41.9,-91.6
Braunau,39000,Fell,1847,50.6,16.3
Seeläsgen,102000,Found,1847,52.26667,15.55
Dharwar,1800,Fell,1848,14.88333,75.6
Castine,94,Fell,1848,44.38333,-68.75
Marmande,3000,Fell,1848,44.5,0.15
Ski,850,Fell,1848,59.73333,10.86667
Fukue,7.3,Found,1849,32.7,128.85
Chesterville,16500,Found,1849,34.7,-81.2
Monroe,8600,Fell,1849,35.25,-80.5
Shalka,4000,Fell,1850,23.1,87.3
Tucson,975000,Found,1850,31.85,-110.96667
Botetourt County,500,Found,1850,37.5,-79.75
Salt River,3600,Found,1850,37.95,-85.78333
Kesen,135000,Fell,1850,38.98333,141.61667
Pittsburg,600,Found,1850,40.43333,-80
Seneca Falls,4000,Found,1850,42.91667,-76.78333
Schwetz,21500,Found,1850,53.4,18.45
Nulles,5000,Fell,1851,41.63333,0.75
Quincay,65,Fell,1851,46.6,0.25
Gütersloh,1000,Fell,1851,51.91667,8.38333
Yatoor,13600,Fell,1852,14.3,79.76667
Rodeo,44000,Found,1852,25.33333,-104.66667
Bustee,1500,Fell,1852,26.78333,82.83333
Chupaderos,24300000,Found,1852,27,-105.1
Cranberry Plains,90,Found,1852,37.23333,-80.73333
Mezö-Madaras,22700,Fell,1852,46.5,25.73333
Borkut,7000,Fell,1852,48.15,24.28333
Mainz,1700,Found,1852,50,8.26667
Duruma,577,Fell,1853,-4,39.5
Segowlie,6930,Fell,1853,26.75,84.78333
Union County,6800,Found,1853,34.75,-84
Tazewell,27000,Found,1853,36.43333,-83.75
Girgenti,18000,Fell,1853,37.31667,13.56667
Cranbourne,8600000,Found,1854,-38.1,145.3
Oktibbeha County,156,Found,1854,33.5,-89
Duel Hill (1854),21800,Found,1854,35.85,-82.7
Emmitsburg,450,Found,1854,39.71667,-77.3
Madoc,168000,Found,1854,44.5,-77.46667
Sarepta,14000,Found,1854,48.48333,44.81667
Tabarz,150,Found,1854,50.88333,10.51667
Linum,1862,Fell,1854,52.75,12.9
Verkhne Udinsk,18000,Found,1854,54.76667,113.98333
Narraburra,32200,Found,1855,-34.25,147.7
Orange River (iron),148800,Found,1855,-30,25
Barranca Blanca,12000,Found,1855,-28.08333,-69.33333
Avilez,146,Fell,1855,25,-103.5
Sabetmahet,1250,Fell,1855,27.43333,82.08333
Petersburg,1800,Fell,1855,35.3,-86.63333
St. Denis Westrem,700,Fell,1855,51.05,3.75
Bremervörde,7250,Fell,1855,53.4,9.1
Oesel,6000,Fell,1855,58.5,23
Denton County,5400,Found,1856,33,-97
Nelson County,73030,Found,1856,37.75,-85.5
Oviedo,205,Fell,1856,43.4,-5.86667
Fort Pierre,15900,Found,1856,44.35,-100.38333
Trenzano,11800,Fell,1856,45.46667,10
Hainholz,16500,Found,1856,52.28333,8.91667
Parnallee,77600,Fell,1857,9.23333,78.35
Heredia,1000,Fell,1857,10,-84.1
Quenggouk,6045,Fell,1857,17.76667,95.18333
Locust Grove,10000,Found,1857,33.33333,-84.1
Laurens County,2150,Found,1857,34.5,-82.03333
Mincy,89400,Found,1857,36.55,-93.1
Stavropol,1500,Fell,1857,45.05,41.98333
Ohaba,16250,Fell,1857,46.06667,23.58333
Kaba,3000,Fell,1857,47.35,21.3
Les Ormes,125,Fell,1857,48.35,3.25
Joel's Iron,1300,Found,1858,-24,-69
Molina,144000,Fell,1858,38.11667,-1.16667
Augusta County,76000,Found,1858,38.16667,-79.08333
Wooster,22700,Found,1858,40.76667,-81.95
Ausson,50000,Fell,1858,43.08333,0.58333
Trenton,505000,Found,1858,43.36667,-88.13333
Kakowa,577,Fell,1858,45.13333,21.66667
Zmenj,246,Fell,1858,51.83333,26.83333
Pampanga,10500,Fell,1859,15.08333,120.7
Tombigbee River,43000,Found,1859,32.23333,-88.2
Harrison County,680,Fell,1859,38.25,-86.16667
Bethlehem,13.9,Fell,1859,42.53333,-73.83333
Beuste,2000,Fell,1859,43.21667,-0.23333
Victoria West,2950,Found,1860,-31.7,23.75
Kheragur,450,Fell,1860,26.95,77.88333
Kusiali,5,Fell,1860,29.68333,78.38333
Dhurmsala,32000,Fell,1860,32.23333,76.46667
Cleveland,115000,Found,1860,34.88333,-84.78333
Coopertown,16800,Found,1860,36.43333,-87
Marshall County,6800,Found,1860,37,-88.25
La Grange,50800,Found,1860,38.4,-85.36667
New Concord,230000,Fell,1860,40,-81.76667
